,Date,Vander_Score,Buy,Sell
471,2016-04-16,0.05809342403628118,0,1
472,2016-04-17,0.11759398496240601,0,1
473,2016-04-18,-0.0276,0,1
474,2016-04-19,0.11337627118644071,0,1
475,2016-04-20,0.0019390266875981138,1,0
476,2016-04-21,0.06458038461538461,0,1
477,2016-04-22,-0.08164344086021506,1,0
478,2016-04-23,0.034836408364083644,1,0
479,2016-04-24,0.09823487738419619,1,0
480,2016-04-25,-0.08787656249999999,1,0
481,2016-04-26,0.0009997423298178328,1,0
482,2016-04-27,0.029098637004543317,1,0
483,2016-04-28,-0.005389517906336087,0,1
484,2016-04-29,0.0629907697790449,0,1
485,2016-04-30,0.029457692307692313,0,1
486,2016-05-01,0.0,0,1
487,2016-05-02,0.0009302209131075102,0,1
488,2016-05-03,0.01998987366003063,1,0
489,2016-05-04,-0.08629411764705881,0,1
490,2016-05-05,-0.021396226415094338,0,1
491,2016-05-06,0.018699063231850117,0,1
492,2016-05-07,0.0,0,1
493,2016-05-08,0.017007908163265306,0,1
494,2016-05-09,-0.150698786407767,0,1
495,2016-05-10,0.12321153846153847,1,0
496,2016-05-11,0.0,0,1
497,2016-05-12,-0.00712763157894737,0,1
498,2016-05-13,0.0,1,0
499,2016-05-14,0.0,1,0
500,2016-05-15,-0.6369,1,0
501,2016-05-16,0.011081534688156973,1,0
502,2016-05-17,-0.05508749066467513,0,1
503,2016-05-18,0.171384693877551,1,0
504,2016-05-19,0.01681607142857143,0,1
505,2016-05-20,0.016548458149779736,1,0
506,2016-05-21,-0.04717318181818182,1,0
507,2016-05-22,0.017097757255936673,1,0
508,2016-05-23,0.08949346733668341,1,0
509,2016-05-24,-0.045284776119402986,1,0
510,2016-05-25,-0.03472586206896551,1,0
511,2016-05-26,0.34,1,0
512,2016-05-27,-0.1531,1,0
513,2016-05-28,0.0,1,0
514,2016-05-29,0.0587045744680851,1,0
515,2016-05-30,0.0,1,0
516,2016-05-31,0.4939,1,0
517,2016-06-01,0.04794491525423729,0,1
518,2016-06-02,0.0,1,0
519,2016-06-03,0.17427719298245614,1,0
520,2016-06-04,0.0,1,0
521,2016-06-05,0.07040054945054945,1,0
522,2016-06-06,0.023414351851851853,1,0
523,2016-06-07,0.0062945000000000015,0,1
524,2016-06-08,0.0,0,1
